lon,lat
12.7244401875,42.0651772328
12.3574896308,42.1461295449
12.4287492979,41.7264303056
12.2275344913,41.8405828733
12.7824204694,41.8950541379
12.3495298918,41.8130495038
12.3612347596,42.1066260055
12.1288789114,42.0616203955
12.2235645532,41.991573957
12.5516561001,41.7097072099
12.4063583096,41.826026007
12.8813559998,42.0779572847
12.4274105175,41.9620105949
12.7102045819,41.6475372959
12.5883216701,41.7307432346
12.5707743549,42.2007034232
12.3783553074,42.1595223267
12.2711562054,41.8955197717
12.32872055,41.8277089005
12.0432717775,41.9710703818
12.4711662898,41.7808664196
12.5006218359,42.2132354094
12.8355444886,41.981928221
12.3957268341,42.2144228696
12.5519723596,42.1223560981
12.5081852804,41.7909542704
12.6498233329,41.8507823272
12.5979117121,41.7237780204
12.1128600345,42.1549605539
12.039309696,42.0152166803
12.8919877017,41.9256767165
12.8920106485,41.9268252463
12.8436963657,41.7642366025
12.822741437,41.7675861696
12.4142375227,41.7800866433
12.1369996657,42.0101038323
12.1341752378,41.9935082003
12.3529234107,42.1342030733
12.7118292471,42.0197043718
12.687057557,42.0138139182
12.2341845424,42.066533479
12.2323880594,42.0690418811
12.243065158,42.0599230832
12.3172514458,41.9399429819
12.7496216355,41.9876444533
12.7529632986,41.9878374573
12.7770346503,41.9851484921
12.7860619792,41.9678306934
12.7887693804,41.9786085177
12.7789774706,41.9944207851
12.5117047319,41.6191681625
12.7798805188,42.0837504684
12.2937046315,42.1287956891
12.3101399712,42.1429861003
12.5333270392,42.1303450945
12.7168459387,41.9427681722
12.442990793,42.0304791474
12.0616559335,42.0197501393
12.0571864573,42.029989496
12.4599138737,41.7534852865
12.5116449177,41.6952259231
12.4977903743,41.691852727
12.9877663748,41.840923178
13.0483759301,41.8896544398
12.1144897975,42.0899174534
12.1111768907,42.0664011955
12.1193582006,42.0653633179
12.709276079,41.8837483222
12.7350906703,41.8768463063
12.7202462849,41.8710617505
12.7365045532,41.8755642286
12.8304608992,42.0276524429
12.4415318301,42.1644108534
12.458507853,42.1551624367
12.4583286738,42.1838235038
12.4565697242,42.1499171464
12.4367548186,42.1526459822
12.4703342496,42.1936757106
12.4522140107,42.1932941334
12.461155214,42.199150355
12.4663917962,42.2054044456
12.4622861921,42.1957238874
12.4611755983,42.1969949504
12.4557314475,42.1596204385
12.4543762826,42.1699687738
12.4395717882,42.1770811448
12.9529248186,42.0149933452
12.5036223125,42.1066901864
12.1971001711,42.0068771435
12.6127897844,42.1351097879
12.2063829171,42.0428964667
12.2026083012,42.0519860897
12.3684690135,41.9564125633
12.3811346418,42.0003425312
12.3760945811,41.9592811897
12.3668018076,41.9545020771
12.5740214396,41.5613162243
12.8681141096,41.9619714134
12.4680193677,41.6760301483
12.7409623718,41.8538574699
12.7670942331,41.8706396975
12.7500148463,41.8973903341
12.7413834619,41.9041852442
12.7412837117,41.8711883134
12.7622236646,41.8627761504
12.7517239338,41.8574722825
12.8491121411,41.9434647637
12.83687493,41.9434012223
12.2627734682,41.8720588689
12.8985602062,41.9772883707
12.8973347366,42.0039945145
12.9232787473,41.9839076855
12.9145664128,41.9868964085
12.9222761137,41.997206852
12.9001130645,41.988435952
12.8897527813,41.9949211041
12.9194988585,41.9979598779
12.894930386,42.0057783155
