lon,lat
12.8924047872,42.069267794
12.7794315114,41.88588118
12.3569330136,42.1025552285
12.3873935609,42.2125988241
12.5581302909,42.1170018845
12.5002859968,42.2113172429
12.5736024556,41.7283487268
12.115138055,42.1543844247
12.1197883023,41.9538568026
12.3300766094,41.8312466507
12.571170987,42.2090552835
12.2546405087,41.8918149214
12.38356636,42.1464788413
12.5586883539,41.7042874645
12.3593412212,42.1462706548
12.2364630692,41.8443837103
12.4545706566,41.7805779547
12.0470962805,41.965861753
12.7126951294,41.6529855209
12.357570329,41.8098876314
12.726136757,42.0617210253
12.0383722202,42.0116281269
12.3877427622,41.833922556
12.5012748753,41.7891734883
12.2222614176,42.0048696518
12.1215015488,42.063924521
12.6328496932,41.8539935599
12.8437024286,41.9886533006
12.60251807,41.7259464029
12.4189708385,41.7285972266
12.4197811783,42.1160386484
12.418348682,42.1318520841
12.6277919851,41.6739920338
12.4302686257,42.0332056974
12.3121791773,41.8011563873
12.1412441369,41.9511793495
12.5724482859,41.7479816785
12.5898369353,41.7532567249
12.5711679477,41.7542701746
12.5711819506,41.7409080178
12.5953428305,41.7512880255
12.5737587595,42.1057338592
12.2233766008,42.0439682981
12.2166734723,42.0719631689
12.1217983132,41.9959273361
12.4940602187,42.0620614427
13.0055583871,41.8015576843
13.0003343124,41.803701784
12.7146763951,41.7957985992
12.4507531818,42.0821729043
12.3938428432,42.0361627555
12.4687577813,41.7553942016
12.155606292,41.9579664216
12.2979070893,41.9907069551
12.3041654338,41.9860115613
12.4252750703,41.7732943555
12.2629767004,42.0567042016
12.8210305224,41.974274457
12.805327399,41.9773547806
12.8277451237,41.9780226744
12.8148713927,41.9634337459
12.7944800601,41.9757412304
12.4410853849,42.1199874128
12.4351475635,42.129190951
12.4678791073,42.1161531306
12.4670935582,42.0876606134
12.483786917,42.0707001522
12.4850956323,42.06206257
12.4747575977,42.1050679119
12.4554126755,42.1244001995
12.467552156,42.1171202956
12.4727770925,42.1271659027
12.4402018388,42.1136570588
12.4678236833,42.1160830707
12.5036259846,41.6508750295
12.5237046958,41.6405517692
12.5032742411,41.6525055304
12.2017625956,41.962236642
12.2032902603,41.9611033966
12.2038121569,41.9791856285
12.1967130833,41.9769058343
12.2193599317,41.9973648971
12.214565329,41.9736144868
12.2101942856,41.9958381003
12.2024679742,41.9722947592
12.2394320638,41.9658883477
12.7827821692,42.0428474224
12.7796146313,42.0273410214
12.7630803213,42.0138970451
12.315364253,42.0839282403
12.315973381,41.9466235646
12.8472209926,41.929042842
12.8628563897,41.9441780344
12.8597502821,41.9219549466
12.852362803,41.9346292315
12.6686122856,41.9947668362
12.2461244611,42.0583339552
12.2508169485,42.0748137429
12.2372354257,42.0688598747
12.1954566655,41.9941051227
12.346843318,42.1323073943
12.7743595341,42.0070960654
12.7929415066,42.0070172277
12.1589416309,42.0308250375
12.1627061733,42.0292923893
12.1692578592,42.0354358773
12.6229018504,41.9632567461
12.6331603077,41.9669661375
12.5411595592,41.5866855522
12.5457875628,41.5841334935
12.5552871428,41.5852743715
12.1132768443,42.0895235678
12.1257552142,42.0884211029
12.114247033,42.0786853981
12.5320121187,41.6720820947
12.6504507608,41.66650384
12.8395100586,41.9362680526
12.8413502024,41.9380299638
12.1187869018,42.1800310838
12.4922540724,41.7245315534
12.4845652453,41.751600286
12.4945795069,41.7633324161
12.4740146985,41.7542742944
12.4907092868,41.7542334622
12.4866422043,41.7296858698
12.6967821247,41.8362086345
12.4780587652,41.6794368338
12.0235185279,41.9877324841
12.1298325169,41.9308851074
12.5458839761,41.8281627452
12.0453392598,41.998601367
12.3592525452,42.1592770095
12.3821769279,42.1672510253
12.4175729054,41.9956434604
12.5399472515,41.6810822434
12.6554095548,41.8756487767
12.2729615279,42.0335197131
12.8455702754,41.9999603461
12.8468893023,41.9895409869
12.8554821081,42.0020613585
12.8899093872,42.032308503
12.886554699,42.0302842028
12.8867733303,42.015721003
12.8795928427,42.0304964956
12.8459022314,41.9965689577
12.671546353,42.0753809098
12.6635174251,42.0730571607
12.6635055298,42.0713479058
12.6586736653,42.0841741106
12.6911606968,42.0662776798
12.6749590964,42.0559369881
12.6761677682,42.0594419595
12.6472296211,42.0694668109
12.6806215162,42.0739247338
12.6551522778,42.0674889814
12.6874384856,42.0781738549
12.5958924338,41.6862621321
12.1492115614,42.0811543658
12.0944622714,42.0052339667
12.1025490384,42.0013692947
12.1119535675,42.0195201907
12.0962192001,42.0228128296
12.1080434023,42.0063751205
12.9159766341,41.9074354561
12.9075250584,41.8871942126
12.5171363071,41.7111526514
12.5028210538,41.7102314938
12.790931923,41.9795271711
12.7550067261,41.9911173129
12.7742176943,41.9891103659
12.7559354798,41.9978277918
12.7888997485,41.9684999276
12.7566046078,41.989190835
12.1795653446,41.8930258468
12.5325187845,41.764060582
12.2866371137,41.7817768949
12.5943847685,42.117718312
12.6006599992,42.1193697122
12.6030501242,42.1135384606
12.5902624607,42.1045629135
12.5706134872,41.955136716
13.0322512415,41.8955066847
12.6569506631,41.9798379625
12.3350284587,41.9453119239
12.3387756069,41.9402599327
12.3377340264,41.9647135525
12.3555429052,41.9385786243
12.3365224899,41.9741973483
12.3458429259,41.9335273305
12.3231149673,41.9501476533
12.7503199984,42.1059867983
12.7307630459,42.1001714065
12.2366995164,42.0243802252
12.2357940085,42.0378019754
