lon,lat
23.9074371139,38.0352420335
23.9348386136,38.1503467609
23.9407839631,38.1439363539
23.9422217613,38.1452638821
23.9539176381,38.1309831271
23.9868311331,37.8709904018
24.0064321391,37.8604576316
24.0016388561,37.8766332864
24.0032679457,37.8515693003
24.0121811262,37.8525910137
24.004924356,37.8490381143
24.0099479886,37.9165112844
23.998434929,37.9180300007
23.7479434799,38.288553294
23.6041500049,38.1573315235
23.5884413816,38.1526339507
23.5915389155,38.1543598895
23.230224314,38.071927147
23.6605006391,38.2357152283
23.3156603359,38.1958059379
23.3050370224,38.1972664387
23.9909046322,37.6748386514
23.9627816719,37.6777538044
23.9615624543,37.6859368185
23.964869356,37.6761029018
23.9457587243,37.6871848013
23.988055896,37.679363763
23.9641411376,37.6785936112
23.964538432,37.6853145002
23.8202975637,37.9472777166
23.8138674525,37.9535814843
23.8182544374,37.950889184
23.7933966074,37.927610247
23.8094027269,37.9397983185
23.8272607984,37.987823497
23.8276378234,37.9540059249
23.8317842388,37.9573527497
23.7737744623,38.2897563637
23.7792425305,38.2994759425
24.029472612,37.7275851104
23.9061838969,38.0762831619
23.843703696,38.095985492
23.8696011767,38.0830894017
23.8480402654,38.0871474599
23.8573710079,38.0923684492
23.8871489419,38.0603433389
23.9154034457,38.0709404909
23.8491075896,38.0798710193
23.8746867418,38.0753554558
23.8796877919,38.0732053204
23.8595304843,38.0885973767
23.9118236186,38.069127032
23.8632299134,38.0636122901
23.8619522469,38.0943520122
23.8710567436,38.0628702689
23.232344342,38.1782322189
23.2393851881,38.1840040232
23.232997284,38.1844252332
23.231263147,38.1755695887
23.8471888235,38.0700830877
23.4679167926,38.0783631128
23.4365649841,38.1440676303
23.3812672342,38.0830727669
23.68315475,38.2871167244
23.3892994905,38.1054232719
23.6911720491,38.0531001336
23.5063493227,37.9872540033
23.5323455075,37.9822637943
23.5100379447,37.9801514388
23.4931374844,38.0011360614
23.7935240478,38.2708618586
23.8277495346,37.977113258
23.7812875836,38.2782899747
