lon,lat
14.5315187655,52.4858320956
13.9596470045,52.5027610553
13.0463703316,52.2002504523
13.4015533994,52.2666519344
12.8649663917,52.6508487027
12.6694533849,52.5979554944
12.7804209787,52.5980852471
12.7704945885,52.6116469833
13.4024736286,52.9178823001
12.8791939213,52.1611757472
12.8806867516,52.173988165
13.4628846421,52.8662204283
12.7825582455,52.5674934641
12.7748345249,52.5763980564
12.7911222669,52.5512784194
14.3880111087,52.4413143148
12.9043378064,52.7162614252
12.3739997657,52.785094612
12.2196165698,52.5317010858
12.3294622679,52.4373803177
13.129248011,52.6369794731
13.0203072218,52.1113962048
13.0267462109,52.107411869
13.9680105352,52.5552394443
13.7584889378,51.8924522629
13.3637128242,51.9278401706
14.4297526461,52.5257298146
14.4620267198,52.5045474639
13.8063393906,51.901411695
12.3749364021,52.2904496795
12.4058750002,52.3105844314
12.5379936877,52.4931462553
12.544227304,52.4971194861
12.5951854282,52.500776447
13.9928502111,52.5782790135
13.4603935338,52.8322679553
14.5365751896,52.4354190685
14.1888236944,52.7898437877
14.2595581349,52.7786620256
14.3701000583,52.7155070828
14.3733583556,52.7105547328
14.1318259505,52.8145184328
14.1561694531,52.8135761271
14.2088457435,52.792976552
13.4944050092,52.2615925756
12.6480183818,52.350467884
12.6657292737,52.3680199572
13.3265670507,51.8636282487
14.4466179256,52.5769817533
13.1501161972,52.2751484878
14.1991369823,52.5644777345
13.8375118305,52.7444921451
14.4583159586,52.46847932
13.7370207748,51.8259646162
13.2309262681,53.0087367535
12.6479189193,52.7568194541
13.6855305657,51.9390058198
12.6385775808,52.6522129947
12.6035520057,52.6547206169
13.5465077091,51.9247922296
13.7066799638,52.6311100871
12.9650979332,51.9731013697
13.1093478158,52.9277124352
12.6967925155,52.6965828508
14.2382878209,52.3902440957
14.1883058487,52.6628095088
13.4370667585,52.2019898129
14.3035538982,52.7308608819
12.8189376636,52.1236643611
13.7737495294,52.6889054568
12.825899073,52.6201349347
13.6708586177,52.5958289651
12.9651287892,51.9483565006
13.7657360599,52.716476397
14.1854244566,52.7478090994
14.0653091342,51.9035750911
13.5070550385,52.2882374514
13.3826058358,51.9517433629
12.6675816088,52.7289654376
13.3695447191,52.3912755868
13.0966838574,51.943328533
13.5974227352,51.9505706382
13.6160764864,51.9517639537
13.2074943015,51.9686696895
13.1208546946,52.2636398959
12.9629240523,52.2094924549
13.1934534318,52.1606184276
13.1218795944,52.9407035585
13.2120351926,52.8453922736
13.267800147,52.2478721789
13.3257879868,52.2756431602
13.340275902,52.2853847126
13.0850771016,52.2384431177
13.2735907786,52.9195401156
12.6172976219,52.1085798446
13.2255156221,51.9251864084
14.478371124,52.5971149443
14.2431555978,52.0381797768
14.1943574235,52.7067292677
13.6059141563,51.864641669
13.1013028987,52.8048194164
13.043148639,52.6213225565
12.7104414194,52.4528053657
12.7600959173,52.4678964862
14.5661483266,52.515046801
12.2935033816,52.7848847525
12.8355512152,52.4670971151
14.3382949669,52.4583438202
13.5776786068,51.8287571902
13.3113998489,52.256822485
12.5346074954,52.6149412144
12.5659653023,52.6287314023
14.2243146965,52.7460383336
14.2208406962,52.7242599073
13.0752617528,53.0195502894
14.3533292166,52.5774140118
13.3258423013,52.0747924709
14.365518181,52.4768528339
14.3791589619,52.6622167786
13.3070472668,52.9727039821
12.2761574715,52.3069800058
12.2744873257,52.2865475804
12.9189918589,51.9792337002
