lon,lat
13.1491659239,52.2785201269
13.9124133432,52.084265714
14.2250434464,52.6491074769
12.271653927,52.7807315368
14.3968872424,52.570228907
13.2915083918,51.9006962687
12.9770779054,51.9412017175
14.2623173082,52.484898019
14.1944769065,52.7516717599
13.1194955408,52.9169713836
13.2256242038,51.9558566874
14.1493255589,52.7482962399
14.3879510834,52.5998699737
12.5334626334,52.5891687641
12.5101254229,52.5829734528
13.3425177464,52.0689518571
12.6614942764,52.2029378494
12.6887696779,52.2249859252
12.5984931341,52.2493251013
12.6277603429,52.2525546703
12.7020776288,52.206692097
12.6568270535,52.2246381237
12.6241080553,52.200010167
12.6523476452,52.2528141561
12.649048667,52.2027391414
13.8387647849,51.9162992034
12.5005719347,52.5576248118
12.7279232655,52.5050812523
12.7968168291,52.524838305
12.7257450993,52.4831823286
12.8398849483,52.6293470594
14.5361937443,52.4407043079
12.7065126478,52.70718681
12.5158267508,52.7448230134
12.5317031246,52.748001282
12.4615995332,52.7335330933
13.5569509648,51.8367105634
13.7017965685,51.9470734812
13.3015229908,51.9331579524
13.1472327357,52.8119084671
13.0658773899,52.2228329586
12.8179415659,52.5637144452
12.8190000915,52.5669990963
12.8339776282,52.5577160466
14.1586778052,52.7127962574
12.4413169696,52.6951103654
12.5181997019,52.6929198016
12.9396859157,52.1141211598
14.1781835054,52.6864601073
12.5478651578,52.5987861326
12.5960098512,52.6034626562
13.714791535,52.6998100096
14.1777118193,52.5351444053
13.1716621527,51.9009314635
13.126488325,52.2652200214
13.229454153,52.8521212867
13.2960048983,52.8672813307
13.3017514535,52.8690858595
13.7560927341,51.909340418
12.7547547045,52.695479894
12.7702285289,52.6903809115
13.0659528212,52.6143935442
14.4642153715,52.4744105276
13.3593796897,51.9479856413
12.37672522,52.4892084395
12.3785001707,52.4733419831
14.3549584086,52.4725651239
13.9995259196,52.047612698
12.6291661421,52.7631862625
14.3159646547,52.4737841608
13.9575174558,52.488533602
13.7263405661,51.7771930978
14.0526389837,52.6479952955
13.6408408359,51.9705678739
13.5133975665,52.2964540189
13.1189643775,52.6355085565
13.2561460532,52.9247094612
14.4977922694,52.6237945798
12.9922711948,52.1842045942
13.0907666922,51.9777039371
14.3311467479,52.4882155424
12.288996066,52.7627718539
12.2663909609,52.7558794038
13.6456072101,52.5989825639
12.8563952162,52.6392005298
12.8680035485,52.447348108
13.176400833,51.9413982318
13.0536678695,52.2015076042
13.9519348601,52.8229614304
13.9652996723,52.8168451836
13.212258843,52.8378306073
12.3865113086,52.7871767148
14.0593970652,52.7972516174
13.3938984815,52.3773531759
12.6236148727,52.6992255934
13.2577691355,52.2269869565
12.6805150354,52.7282112624
13.4706984924,51.8752117854
14.3099641515,52.6391486761
14.2324046157,52.6968397642
13.3319732334,52.2651987466
13.6083158204,51.942593305
13.6008073848,51.9688469185
14.079443643,52.6315412982
12.2824691521,52.3008424966
12.2773900934,52.2901727259
12.3791853553,52.3202926678
12.3829480319,52.3014068069
14.5092403107,52.4863760815
12.6041443819,52.6595379502
12.5693179696,52.6700722929
12.9866132502,52.1308834108
12.9807985809,52.1072034168
14.4289284264,52.5785554486
14.3078003788,52.6050773778
13.1935081816,52.1974319868
13.5577517212,51.9204972015
14.2390277912,52.7224378792
13.696987608,52.6331747866
13.0115194241,52.779212574
13.0271830699,52.4813955102
13.8268436943,52.7594355888
12.6623285355,52.6149603417
12.6598676742,52.6453936126
12.6112628232,52.6368219463
14.3539198152,52.443607905
14.021783621,52.5647165328
13.2889768331,52.9720782072
12.8983589242,52.5316134501
12.8066542027,52.6352007352
12.9763925111,52.7737056187
13.4344589401,52.8187491375
12.3102282963,52.4454698393
12.7802261524,52.5019321771
13.59952871,51.8920933169
12.2623805358,52.6968676957
13.4223052163,52.9409305409
14.2728087965,52.4410013706
13.0749008266,53.0270647046
13.3745374847,52.8688408741
13.3696442447,52.8692449402
13.7351115518,51.8292667006
12.2437385853,52.5468181901
12.2871498406,52.5339131558
13.7500782797,52.7195133046
12.6698318343,52.3881953011
12.6401712313,52.4079598401
12.5736882096,52.2641733567
12.6037792998,52.1283261416
13.2587411359,51.9179284302
13.1689172153,52.8081363308
12.938665737,52.1694781883
13.7036351803,51.8190828433
14.3179437532,52.7415642945
13.3625687884,51.9846149775
12.6778659363,52.6654139285
14.239178703,52.0410519413
13.1312663339,52.6671774048
12.9103194771,52.2055512347
12.5769810355,52.6265408204
12.5934871561,52.6218431485
13.7405216897,52.0213898643
13.7897956389,52.0094775992
14.2064056243,52.4057767401
12.9292972543,51.9983936206
14.598064636,52.6014678867
13.1072181692,51.9517279048
12.7071398485,52.6352692813
14.1312010548,52.4806728828
13.2972879614,51.8370582393
13.4654397597,52.8622030048
13.4461073414,52.1612930152
13.9480441626,52.5861289042
12.9125112594,52.1739501117
12.8910843546,52.1681734475
14.5620239489,52.5210866804
13.2486238053,53.0243885806
13.9508130368,52.7432195339
12.9084029754,51.9393818425
12.5587611593,52.5072230238
12.5760271524,52.4931201861
12.5493758652,52.5239618362
14.2139192381,52.7509840167
13.3121308126,52.9158040338
12.8592748913,52.6913559534
12.527434099,52.6665310495
12.5166727271,52.3011837088
12.5268952858,52.3440215734
12.5270465054,52.2672942083
12.5255041414,52.3393077128
13.2102854995,52.9517579452
13.2334052139,52.9636955442
13.3363773807,52.2932884893
13.3737032128,52.2979171839
13.1127139117,52.9657903247
13.2715806464,52.9414577399
13.2718775546,52.9331860414
14.0913737481,52.8588319211
13.2193834103,52.231500877
12.6674644748,52.4709437767
12.6343824657,52.4711598122
13.5929982609,52.0037454917
14.1871634069,52.6677204597
13.749296035,52.6726459887
12.5748176464,52.5878771711
12.6151653684,52.5780951946
12.5954515444,52.5924470076
14.1165686557,52.8237614709
14.2777539204,52.7703801016
14.2531678291,52.7718870068
14.2510356722,52.7763469674
14.2492117131,52.766960058
14.2880677309,52.7689426257
14.1824927049,52.8056548549
14.4180538281,52.4465675844
13.4269810617,52.2566898475
12.8998462828,52.6859631586
13.992928095,52.5702408814
13.8081745171,52.6293728437
13.7933566604,52.6284225586
12.6680903544,52.4309633988
12.6813708901,52.4403485173
12.6474355333,52.3921357715
12.6108878747,52.4067923771
14.4938192742,52.6011895717
13.0867005706,52.1332310121
12.8474006362,52.1288678607
14.3531439036,52.7082961054
13.0490453653,52.7957300402
14.4173862891,52.5269768019
14.4329253165,52.5298362205
12.8212930958,52.5775968884
13.7054513516,52.7294842868
13.4239231842,52.963958452
12.9005139433,51.9583976492
14.1621760649,52.4163084454
14.3427912311,52.5413696646
13.8270683832,51.8321251419
12.7776333727,52.4785283942
12.6771144115,52.4483444595
14.0864092222,51.8956602818
12.7267484073,52.5555263415
12.7200529946,52.5660695139
14.3946242582,52.6609015249
13.2857537072,52.1549180942
13.7262913706,51.8783926196
13.5116487677,52.2654373598
14.1979128622,52.5491233326
13.0131726831,51.9488531072
13.1132958381,51.9941174528
13.3592021524,51.891118481
12.6570378111,52.5940939826
12.7593739225,52.6203791441
12.7833231949,52.5950635997
13.6810069547,51.8595333752
13.6664164796,52.5015814551
13.1076794473,52.2924191786
13.8299069194,52.8364503563
14.3766576296,52.728069948
13.6505567848,52.5065593967
13.2254645208,52.660067399
13.9621276817,52.3356065533
13.8869378337,51.9104131262
13.2427319734,52.3866696004
12.6780400952,52.7680455688
13.2820993787,52.2982906183
13.4749128033,52.1478193359
13.1711962399,52.8485950632
14.3039221551,51.9657590588
13.6473309613,52.01439741
12.4422581272,52.1942546435
14.5514589774,52.4418989445
13.4736463215,52.6268501083
14.1002116635,52.9471227655
13.8766958117,52.1197463863
13.3215495204,51.9529412327
13.0794730184,52.1299928473
13.3806607092,52.1712772208
13.7905601729,52.3394171835
13.8842828692,52.689428171
13.4236214762,52.241634574
13.5041034279,52.0842931882
13.4220090492,52.6177541871
13.5170585984,52.7897461949
13.814110707,51.9966591258
13.5614322932,52.2400830922
14.1605600173,52.195184169
13.8781984088,51.8986428039
12.3253781865,52.3206243601
13.204983827,52.6739200541
13.5233106288,52.1286701691
13.7473337965,52.5059389632
14.5542575012,52.5563372549
13.0665139472,52.5190208608
13.4407089719,52.5697166525
13.5571207894,52.2587486523
13.8718530439,52.9053000167
13.6548849562,52.0590580828
12.283973492,52.607300611
12.9715757416,52.4567294777
13.6500296279,52.5406148309
13.9354853704,52.255345801
13.4069549358,52.7561666433
14.2676350562,52.1951476565
14.5010160622,52.4097828387
13.7163500343,52.2969657435
13.1773095382,53.1848760391
13.5353770736,52.7019266538
13.7726633135,52.1884489033
13.749011504,52.6251555595
13.1037305146,52.4713683037
14.4195742875,52.1559025632
13.1124189342,53.1001815099
14.5337155412,52.4698391814
13.9843836075,52.462582214
13.455519644,52.5901343493
14.4368757313,52.4797005921
14.0137623707,52.7383062047
13.7258655879,52.0895503084
13.6123446984,52.2300710079
14.0404380696,52.7916560039
13.6861144743,52.5070680782
14.5876736197,52.1059188539
12.6012138528,52.2062156506
12.4108529772,52.5292917537
12.223168038,52.7623419824
13.6653921146,52.5766950793
14.1757638338,52.2995871708
12.9819984148,52.5794409173
14.6142644688,52.5722411728
13.191722896,52.1475666565
13.395114997,52.63631695
14.2765009355,52.7284455413
14.2366492719,51.9288101497
13.4722913483,52.1036412742
13.5294066024,52.9153644035
13.272256394,52.5941109462
13.3673029059,52.6441617192
13.2454794199,52.219143737
13.0243053013,52.3138000232
13.0256345167,53.071699508
13.3141509683,53.0418980739
13.6733843656,52.8337619578
14.1591304387,52.2613195448
13.1444851049,52.7052865475
14.6001161039,52.5652986769
13.8835440883,52.2890579288
13.4662542095,52.0570122379
13.1202529664,52.4828332271
13.2173532958,52.038923434
12.9332815949,52.4187066583
14.0074415568,51.9199862999
13.1220354273,52.89147071
14.163953549,52.5463711028
13.5996393894,52.8177700754
12.5972541165,52.286305631
13.1109997313,53.1863158085
13.5439557805,52.4813532846
13.8948689568,51.9932224828
13.750654306,52.5444165444
12.8459691466,52.476523948
12.9634384643,52.2138096293
14.0251455703,52.8444779787
12.8174403036,52.1041477982
13.7421656136,51.830975403
13.6415272875,52.1565747538
12.8298004278,52.4544639764
14.6166649366,52.2086363438
13.6854583627,52.1632936026
14.6709307022,52.1747942818
14.2704497309,52.1101974415
13.3483212486,53.0032799583
13.1440385513,52.5307668454
13.444163914,52.960024958
13.082961239,52.0290991566
13.5406129062,52.1627384066
12.5777259041,52.2341194318
13.5363041723,52.6399830435
13.7357455846,52.9823983775
14.3579824077,52.6622651667
13.796058513,52.3424821518
14.5179836142,52.1276703835
13.3328609745,52.6327113357
13.5793205453,52.1782336738
14.2415149143,51.9635796941
12.4251579494,52.43389861
13.1851295259,52.398601285
13.3779437412,52.1677275876
13.2162196975,53.1236258098
13.8029352554,52.474555342
14.6602496393,52.1265351515
12.4008776061,52.5872718038
13.2494845438,52.5328403633
12.5128871483,52.6686880899
13.0123719881,52.4083602189
14.57201196,52.1320674064
13.7095159398,52.5379850853
12.2773532839,52.6060202082
12.7611011773,52.175061344
13.4684191232,52.5212812356
13.6548900467,52.3241967667
14.4099430258,52.2360292339
14.5373167733,52.2148475392
13.7980630737,52.2807665951
13.1387369817,52.1166683669
12.7638021151,52.3642780511
13.5469864916,52.6944331236
13.709820204,51.9256222756
14.1902411095,52.0608459955
14.0552949063,52.0748695183
13.3609824487,52.6073382215
14.3147047029,52.2794498699
12.8894518764,52.4116445814
13.9820018672,52.1179396633
12.9777983688,52.4942381021
12.3544731991,52.4871099749
14.2872229949,52.1148579721
12.7306808895,52.40674347
13.0466503334,52.5716645345
13.6423002037,52.2656560651
13.7506589158,53.0376382517
13.2054397213,53.2018652899
13.0553601749,52.1606201276
14.2309631848,52.0787884969
12.9237004888,52.3133032328
13.4330029458,52.9502711
14.2152947219,52.1925756726
13.2648666729,52.6718934089
13.8215797546,52.1165675734
13.801072252,52.070739197
14.3910113052,52.5651803275
14.1366020483,51.9783480813
13.8417589616,52.8746357546
14.1971690511,52.1635417101
14.0564621871,52.4874025929
12.3698816982,52.7557906395
13.3982841037,51.9474524889
13.5426092533,52.6626419822
14.09527636,52.0655586434
13.0791471284,52.5321686574
14.1386813734,51.9709190667
12.6202689163,52.4089043223
12.6140981837,52.0143571602
12.9389908522,52.4201957372
13.1010431177,52.330624245
13.9119555444,52.3075592674
13.8830159924,52.4524591287
13.0936746546,52.0455108502
12.3416425329,52.4864580862
13.4422637154,52.3130632222
14.0458738148,52.7852971245
12.9995013857,52.6516460588
13.4073897983,52.764385046
13.4605084115,52.204757975
13.9833497637,52.0191613758
13.096022321,52.5648465734
12.9732326742,52.5894028554
13.2933761757,52.6617408903
13.3979184751,52.7886584317
12.2967060467,52.1821425561
12.7076763868,52.1291100577
13.6365190198,52.2919392797
13.0544991029,52.4580236831
13.4863980285,52.3990864202
13.1861411535,52.6818054311
14.1953135934,51.86958677
13.6225695892,52.8400794828
12.6177019567,52.4099734856
13.5348579148,52.6379086407
14.0493839177,52.8166137727
13.8799203093,52.5690706055
13.5481314312,52.5068693895
12.7657394374,52.3134494929
13.1567094369,53.1056954058
14.12680896,52.10914579
13.900724213,52.5375249117
14.4032026457,52.1890369508
13.6915783964,52.8342338979
14.0678415744,52.3159316344
14.0790833784,52.7857128223
13.227805677,52.5594127295
12.9684100311,52.224547834
13.5199218995,52.3927594279
12.8939773192,52.4522926825
12.627499021,52.2821377454
13.0523793921,52.4110914342
13.0374257629,52.3011037388
14.6449080671,52.1417972517
13.1881000819,52.7219978871
13.0042587862,52.0109433452
14.2805505493,52.7295471088
12.3267852815,52.2306249167
13.3888734054,52.6685187256
13.8030966148,52.2089172848
12.9759293341,52.2302759536
13.8175729753,51.7412185871
13.4082717872,52.7683903907
13.3512451405,52.6181320316
12.8265113331,52.037994492
14.5391448067,52.5767300501
13.7151010701,52.4021990147
12.9681051979,52.4087802957
12.7179398364,52.6782922355
14.339135962,52.0998579119
13.9297495189,52.7366151458
13.7341679459,52.684309247
14.3650658941,52.5307918202
13.1995654661,52.1127732908
